Player,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Jameer Nelson,2017-18,35,NOP,NBA,PG,43,897,8.9,0.52,0.537,0.083,1.4,9.9,5.8,22.2,1.2,0.3,20.9,13,,0.3,0.6,0.8,0.045,,-1.9,-1.4,-3.3,-0.3
Jameer Nelson,2017-18,35,DET,NBA,PG,7,116,2.6,0.322,0.359,0.077,1.9,5.8,3.8,27.7,1.7,0.8,21.4,19.6,,-0.4,0.1,-0.3,-0.107,,-7.5,-2.2,-9.7,-0.2
Rashad Vaughn,2017-18,21,MIL,NBA,SG,22,173,11.1,0.56,0.7,0.12,1.4,10.1,5.8,9.9,1.2,1.5,7.1,14.8,,0.2,0.1,0.3,0.073,,-0.5,-2.8,-3.3,-0.1
Rashad Vaughn,2017-18,21,BRK,NBA,SG,1,4,4.1,,,,0,0,0,31.7,0,0,,0,,0,0,0,0.106,,-7.6,-8.5,-16,0
Rashad Vaughn,2017-18,21,ORL,NBA,SG,5,35,1.1,0.417,0.333,0,3.1,9.5,6.3,0,1.4,0,25,10.1,,-0.1,0,-0.1,-0.07,,-8.1,-2.4,-10.4,-0.1
Tyler Zeller,2017-18,28,BRK,NBA,C,42,703,15.3,0.587,0.114,0.262,9.4,20,14.7,6.5,0.6,2.2,12.1,17.9,,1,0.6,1.5,0.105,,-1.9,-0.6,-2.5,-0.1
Tyler Zeller,2017-18,28,MIL,NBA,C,24,406,17.1,0.622,0.019,0.181,13.6,18.4,16,7,0.9,2.9,9.6,13.9,,1.1,0.3,1.4,0.163,,0.3,-0.4,-0.1,0.2
Willy Hernangomez,2017-18,23,NYK,NBA,C,26,233,16.9,0.595,0.062,0.346,10.5,21.3,15.9,14.3,1.7,2.6,21.8,22.4,,0.1,0.3,0.3,0.069,,-1.4,0.8,-0.6,0.1
Willy Hernangomez,2017-18,23,CHO,NBA,C,22,262,25,0.612,0.084,0.747,15.8,32.4,24,7.1,1.9,2.9,7.5,19.7,,1,0.4,1.5,0.266,,1.4,0.8,2.2,0.3
Jordan Clarkson,2017-18,25,LAL,NBA,SG,53,1256,16.9,0.532,0.315,0.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,,1.1,1,2.1,0.08,,1,-2.3,-1.3,0.2
Jordan Clarkson,2017-18,25,CLE,NBA,SG,28,632,15.4,0.565,0.376,0.202,2.3,7.9,5.1,12,1.5,0.4,9.3,24.1,,0.8,0.2,1,0.073,,0.4,-3.5,-3.1,-0.2
Larry Nance Jr.,2017-18,25,LAL,NBA,C,42,922,19.4,0.618,0.016,0.344,12.6,20.2,16.4,9.2,3.1,1.8,12.3,15.3,,2.1,1.5,3.7,0.191,,1,2.7,3.8,1.3
Larry Nance Jr.,2017-18,25,CLE,NBA,C,24,499,21.5,0.585,0.05,0.313,12.1,25.5,18.9,7.6,2.8,3.1,5.2,17,,1.4,0.7,2.1,0.206,,0.8,1.7,2.6,0.6
Isaiah Thomas,2017-18,28,CLE,NBA,PG,15,406,12.3,0.493,0.448,0.351,2,6.5,4.3,25.1,1.1,0.4,15.5,28.9,,-0.1,0.1,-0.1,-0.008,,-1.4,-4.4,-5.8,-0.4
Isaiah Thomas,2017-18,28,LAL,NBA,PG,17,456,12.8,0.52,0.445,0.278,2.4,6,4.2,28.8,0.6,0.2,17.5,28.7,,0,0.2,0.2,0.024,,-0.4,-4.2,-4.6,-0.3
Channing Frye,2017-18,34,CLE,NBA,C,44,545,13.9,0.604,0.533,0.089,2.1,20.3,11.3,7.5,1.5,1.9,8.8,15.6,,0.7,0.5,1.2,0.104,,-0.5,-0.8,-1.3,0.1
Channing Frye,2017-18,34,LAL,NBA,C,9,150,10.2,0.581,0.581,0.093,1.4,16.2,8.9,9.5,0.3,0.5,8.2,13.8,,0.2,0.1,0.3,0.091,,-1.3,-1.8,-3,0
James Ennis,2017-18,27,MEM,NBA,SF,45,1053,11.9,0.61,0.378,0.329,5.7,11.7,8.6,7,1.5,1.1,13,12.5,,1.5,0.6,2,0.093,,-0.3,-0.4,-0.7,0.3
James Ennis,2017-18,27,DET,NBA,SF,27,551,11.2,0.558,0.426,0.265,3.9,9.6,6.7,5.9,1.4,1,9,16,,0.5,0.5,1,0.09,,-1,-0.7,-1.7,0
Luke Babbitt,2017-18,28,ATL,NBA,SF,37,570,12,0.636,0.661,0.131,1,14.9,7.9,7,0.6,0.8,7.8,14.8,,0.9,0.3,1.1,0.094,,0.1,-2.1,-2,0
Luke Babbitt,2017-18,28,MIA,NBA,SF,13,145,1.3,0.351,0.957,0,1.5,10.1,5.8,4.8,0.3,1.2,7.8,15.8,,-0.3,0.1,-0.2,-0.073,,-5.2,-2.7,-7.9,-0.2
Rodney Hood ,2017-18,25,UTA,NBA,SG,39,1084,15.1,0.551,0.475,0.176,1.5,10.1,5.8,10.4,1.4,0.5,9.6,27.3,,0.6,1.3,1.9,0.085,,0.5,-2.1,-1.6,0.1
Rodney Hood ,2017-18,25,CLE,NBA,SG,21,532,12.7,0.533,0.357,0.161,1.7,9.5,5.7,8.4,1.4,0.8,3.2,18.3,,0.6,0.2,0.8,0.074,,-0.4,-2.3,-2.7,-0.1
George Hill ,2017-18,31,SAC,NBA,PG,43,1143,14,0.597,0.393,0.304,2.1,9.9,5.8,15.5,1.7,1,14,16.9,,1.6,0.6,2.1,0.09,,0.4,-1,-0.6,0.4
George Hill ,2017-18,31,CLE,NBA,PG,24,669,12.2,0.551,0.412,0.219,3.4,7.3,5.4,14,1.6,1.9,12,15.4,,0.8,0.3,1.1,0.077,,0,-0.6,-0.6,0.2
Joe Johnson,2017-18,36,UTA,NBA,SF,32,700,9,0.492,0.372,0.106,2,15.2,8.7,9.8,0.9,0.7,11.6,17.2,,-0.2,0.8,0.6,0.041,,-3.3,0,-3.3,-0.2
Joe Johnson,2017-18,36,HOU,NBA,SF,23,505,6.8,0.485,0.455,0.157,0.5,13.9,7.3,10.7,0.6,0.2,11.2,14.1,,0,0.4,0.4,0.038,,-3.6,-0.9,-4.4,-0.3
Jae Crowder ,2017-18,27,CLE,NBA,SF,53,1346,10.2,0.545,0.503,0.245,3.5,10.8,7.2,6,1.5,0.8,9.2,15.1,,1.1,0.6,1.7,0.059,,-0.6,-1.2,-1.8,0.1
Jae Crowder ,2017-18,27,UTA,NBA,SF,27,744,10.8,0.499,0.515,0.19,2.8,12.7,7.8,8.6,1.6,1,9.1,21.3,,-0.1,1,0.9,0.06,,-1.3,-0.4,-1.6,0.1
Derrick Rose ,2017-18,29,CLE,NBA,PG,16,308,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13,0.5,1.1,15.7,25.6,,-0.1,0,-0.1,-0.014,,-3.9,-3.8,-7.7,-0.4
Derrick Rose ,2017-18,29,MIN,NBA,PG,9,112,11.2,0.463,0.111,0.093,3.1,3.1,3.1,15.2,1.8,0,11.1,25,,-0.1,0,-0.1,-0.029,,-3.8,-4.3,-8.1,-0.2
Dwyane Wade,2017-18,36,CLE,NBA,SG,46,1069,15.9,0.519,0.161,0.308,4.2,14.7,9.5,23.3,1.9,2.5,15.7,24.3,,0.4,0.9,1.3,0.057,,-1.6,0.3,-1.4,0.2
Dwyane Wade,2017-18,36,MIA,NBA,SG,21,467,13.1,0.465,0.166,0.223,2.6,14.4,8.5,23.9,2,2.7,15,30.7,,-0.8,0.7,-0.1,-0.014,,-4.2,0.5,-3.7,-0.2
