Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Larry Nance Jr.,2017-18,25,LAL,NBA,C,42,17,22,3.6,6,0.601,0,0.1,0.25,3.6,5.9,0.606,0.603,1.3,2.1,0.632,2.6,4.2,6.8,1.4,1.4,0.5,1,2.7,8.6
Larry Nance Jr.,2017-18,25,CLE,NBA,C,24,10,20.8,3.7,6.7,0.55,0,0.3,0.125,3.6,6.3,0.572,0.553,1.5,2.1,0.72,2.2,4.8,7,1,1.2,0.8,0.4,2.5,8.9
Isaiah Thomas,2017-18,28,CLE,NBA,PG,15,14,27.1,4.7,12.9,0.361,1.5,5.8,0.253,3.2,7.1,0.449,0.418,3.9,4.5,0.868,0.5,1.6,2.1,4.5,0.6,0.1,2.7,1.7,14.7
Isaiah Thomas,2017-18,28,LAL,NBA,PG,17,1,26.8,5.1,13.4,0.383,1.9,5.9,0.327,3.2,7.4,0.429,0.456,3.4,3.7,0.921,0.6,1.5,2.1,5,0.4,0.1,3.2,1.9,15.6
Channing Frye,2017-18,34,CLE,NBA,C,44,1,12.4,1.9,3.8,0.497,0.7,2,0.333,1.2,1.8,0.684,0.586,0.3,0.3,0.933,0.2,2.3,2.5,0.6,0.4,0.3,0.4,1.2,4.8
Channing Frye,2017-18,34,LAL,NBA,C,9,0,16.7,2.2,4.8,0.465,1,2.8,0.36,1.2,2,0.611,0.57,0.3,0.4,0.75,0.2,2.6,2.8,1.1,0.1,0.1,0.4,1.7,5.8
James Ennis,2017-18,27,MEM,NBA,SF,45,14,23.4,2.4,4.9,0.486,0.7,1.9,0.357,1.7,3.1,0.565,0.554,1.4,1.6,0.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
James Ennis,2017-18,27,DET,NBA,SF,27,8,20.4,2.7,6,0.457,0.8,2.6,0.304,2,3.4,0.57,0.522,1.2,1.6,0.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2,7.5
Luke Babbitt,2017-18,28,ATL,NBA,SF,37,9,15.4,2.2,4.5,0.476,1.3,3,0.441,0.8,1.5,0.544,0.622,0.5,0.6,0.773,0.1,2.1,2.2,0.7,0.2,0.1,0.4,1.3,6.1
Luke Babbitt,2017-18,28,MIA,NBA,SF,13,5,11.2,0.8,3.6,0.234,0.8,3.5,0.244,0,0.2,0,0.351,0,0,,0.2,1,1.2,0.4,0.1,0.2,0.3,0.5,2.5
Rodney Hood ,2017-18,25,UTA,NBA,SG,39,12,27.8,6,14.2,0.424,2.6,6.7,0.389,3.4,7.4,0.455,0.516,2.2,2.5,0.876,0.4,2.5,2.8,1.7,0.8,0.2,1.6,1.6,16.8
Rodney Hood ,2017-18,25,CLE,NBA,SG,21,11,25.3,4.2,9.5,0.442,1.2,3.4,0.352,3,6.1,0.492,0.505,1.2,1.5,0.813,0.4,2.2,2.6,1.4,0.7,0.2,0.3,2,10.8
George Hill ,2017-18,31,SAC,NBA,PG,43,36,26.6,3.6,7.6,0.469,1.3,3,0.453,2.2,4.6,0.48,0.558,1.8,2.3,0.778,0.5,2.2,2.7,2.8,0.9,0.3,1.4,1.7,10.3
George Hill ,2017-18,31,CLE,NBA,PG,24,24,27.9,3.5,7.8,0.444,1.1,3.2,0.351,2.3,4.6,0.509,0.516,1.4,1.7,0.805,0.8,1.8,2.7,2.8,0.9,0.6,1.2,2.2,9.4
Joe Johnson,2017-18,36,UTA,NBA,SF,32,3,21.9,3,7.1,0.42,0.7,2.6,0.274,2.3,4.4,0.507,0.471,0.6,0.8,0.833,0.4,3,3.3,1.4,0.4,0.2,1,1,7.3
Joe Johnson,2017-18,36,HOU,NBA,SF,23,1,22,2.2,5.8,0.381,0.7,2.7,0.279,1.5,3.2,0.466,0.444,0.9,0.9,0.952,0.1,2.7,2.8,1.7,0.3,0,0.8,1.5,6
Jae Crowder ,2017-18,27,CLE,NBA,SF,53,47,25.4,3,7.1,0.418,1.2,3.6,0.328,1.8,3.5,0.508,0.5,1.5,1.7,0.848,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,8.6
Jae Crowder ,2017-18,27,UTA,NBA,SF,27,0,27.6,4.2,10.9,0.386,1.8,5.6,0.316,2.4,5.3,0.462,0.468,1.6,2.1,0.768,0.7,3.1,3.8,1.5,0.9,0.3,1.2,2.3,11.8
Derrick Rose ,2017-18,29,CLE,NBA,PG,16,7,19.3,3.6,8.3,0.439,0.4,1.5,0.25,3.3,6.8,0.481,0.462,2.2,2.6,0.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8
Derrick Rose ,2017-18,29,MIN,NBA,PG,9,0,12.4,2.6,6,0.426,0.1,0.7,0.167,2.4,5.3,0.458,0.435,0.6,0.6,1,0.3,0.3,0.7,1.2,0.4,0,0.8,0.2,5.8
Dwyane Wade,2017-18,36,CLE,NBA,SG,46,3,23.2,4.3,9.5,0.455,0.5,1.5,0.329,3.8,7.9,0.479,0.482,2,2.9,0.701,0.8,3.1,3.9,3.5,0.9,0.7,2,1.8,11.2
Dwyane Wade,2017-18,36,MIA,NBA,SG,21,0,22.2,4.8,11.8,0.409,0.4,2,0.22,4.4,9.8,0.447,0.427,2,2.6,0.745,0.5,2.9,3.4,3.1,0.9,0.7,2.3,1.9,12
Doug McDermott ,2017-18,26,NYK,NBA,SF,55,1,21.3,2.7,6,0.46,1,2.5,0.387,1.8,3.5,0.513,0.541,0.7,1,0.755,0.6,1.8,2.4,0.9,0.2,0.2,0.6,1.3,7.2
Doug McDermott ,2017-18,26,DAL,NBA,SF,26,3,22.9,3.3,6.9,0.478,1.5,3,0.494,1.8,3.9,0.465,0.586,0.9,1.1,0.857,0.3,2.3,2.5,1.1,0.3,0.2,0.8,1.9,9
Devin Harris ,2017-18,34,DAL,NBA,PG,44,1,18.3,2.7,6.5,0.415,1,2.8,0.352,1.7,3.6,0.465,0.493,2.1,2.5,0.83,0.2,1.7,1.9,1.9,0.8,0.2,1.1,2.3,8.5
Devin Harris ,2017-18,34,DEN,NBA,PG,27,0,19.7,2.6,6.3,0.406,1.3,3.8,0.343,1.3,2.5,0.5,0.509,1.8,2.1,0.845,0.1,1.4,1.6,2.5,0.5,0.1,1,2,
Emmanuel Mudiay,2017-18,21,DEN,NBA,PG,42,0,17.9,3.1,7.7,0.401,0.9,2.4,0.373,2.2,5.2,0.414,0.46,1.5,1.9,0.808,0.4,1.9,2.2,2.9,0.5,0.1,1.7,1.1,8.5
Emmanuel Mudiay,2017-18,21,NYK,NBA,PG,22,14,22.4,3.4,9.3,0.368,0.4,2.1,0.196,3,7.2,0.418,0.39,1.6,2.3,0.686,0.5,2.2,2.6,3.9,0.9,0.3,1.9,1.5,8.8
Dante Cunningham,2017-18,30,NOP,NBA,SF,51,24,21.9,1.9,4.4,0.44,0.7,2.1,0.324,1.3,2.3,0.547,0.518,0.4,0.7,0.556,1,2.8,3.8,0.5,0.5,0.3,0.3,1.5,5
Dante Cunningham,2017-18,30,BRK,NBA,SF,22,1,20.3,3,6.3,0.468,1,2.7,0.383,1.9,3.6,0.532,0.55,0.5,0.7,0.688,1.3,3.5,4.8,1,0.5,0.6,0.8,1.6,7.5
Bruno Caboclo,2017-18,22,TOR,NBA,SF,2,0,3.5,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,0.5,0.5,0,0,0.5,0
Bruno Caboclo,2017-18,22,SAC,NBA,SF,10,0,10,0.9,2.9,0.31,0.3,1.5,0.2,0.6,1.4,0.429,0.362,0.5,0.6,0.833,0.7,1.4,2.1,0.3,0.2,0.4,0.4,0.7,2.6
Malachi Richardson,2017-18,22,SAC,NBA,SG,25,4,12.8,1.2,3.5,0.33,0.5,1.6,0.308,0.7,2,0.347,0.398,0.7,0.9,0.773,0.2,1.1,1.3,0.5,0.4,0,0.4,1.1,3.5
Malachi Richardson,2017-18,22,TOR,NBA,SG,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,0,0,0,2
Noah Vonleh,2017-18,22,POR,NBA,PF,33,12,14.4,1.4,2.9,0.49,0.1,0.2,0.333,1.4,2.7,0.5,0.5,0.7,0.9,0.742,1.1,4,5.1,0.4,0.2,0.3,0.5,1.3,3.6
Noah Vonleh,2017-18,22,CHI,NBA,PF,21,4,19,2.7,6.6,0.413,0.9,2.9,0.3,1.9,3.7,0.5,0.478,0.6,1.3,0.481,1.7,5.2,6.9,1,0.6,0.3,0.8,1.2,6.9
Elfrid Payton,2017-18,23,ORL,NBA,PG,44,44,28.6,5.4,10.4,0.52,0.6,1.5,0.373,4.8,8.9,0.545,0.547,1.6,2.6,0.632,1.1,2.9,4,6.3,1.5,0.4,2.6,2.2,13
Elfrid Payton,2017-18,23,PHO,NBA,PG,19,19,29,4.8,11,0.435,0.3,1.3,0.2,4.5,9.7,0.467,0.447,1.9,2.8,0.685,0.9,4.4,5.3,6.2,1,0.3,2.8,2.6,11.8
